pdbid,-logKd/Ki
2pv2,5.91
4fn5,6.76
3n5k,9.7
4cjq,3.59
3gzn,8.0
2xcg,8.05
1hte,5.64
2p3a,7.96
2wi2,3.46
3mg6,7.89
3tws,5.52
2nnk,8.37
4ap7,7.96
2vey,7.37
3uol,8.51
2iqg,8.3
3qlb,8.43
1ule,5.92
2b1i,6.82
1pum,3.05
3dgq,4.92
4lts,8.36
1z9h,3.0
4mx1,3.68
1h1d,8.22
2fv5,11.7
3q6z,3.72
2wti,7.04
3rup,1.57
2w8w,2.12
3s71,8.64
2l1r,3.57
4hlc,6.76
2w9r,5.32
4cgi,3.12
2pyy,4.6
3pvu,6.54
3ibi,8.59
4bpj,6.0
1a61,8.62
4da5,6.44
4qz7,5.65
4re9,4.92
4cwb,6.09
1q3w,8.4
4oiv,5.08
1eve,8.24
4li5,6.26
2ohk,2.7
2y2k,5.16
