pdbid,-logKd/Ki
1abt,5.85
4ngs,8.12
4yp1,5.04
4cpt,7.7
1zpb,6.07
3piz,5.46
4e3f,2.52
1r6g,9.21
3iwy,7.28
4ybm,6.85
2xaf,4.64
3lp1,6.92
4zo5,9.82
1af2,3.1
1i7z,6.4
2x97,5.66
4bdc,4.93
2aoe,7.62
4ks1,8.82
4meq,3.6
4f6v,5.8
1tog,3.22
2xxn,6.41
1xh9,7.77
4udb,9.15
3doy,5.82
2lya,4.19
4ith,6.5
5bvf,9.72
3i7g,6.37
3zqt,4.41
2bq6,10.15
4pxf,3.1
4g8l,8.0
2yit,9.54
2xhx,6.6
2ccc,7.76
1ru1,4.74
4kom,7.0
1ajn,2.63
2xj1,7.55
4c1c,4.97
2vcg,5.77
4cxx,5.68
2yc3,6.85
4ca8,6.68
3ftq,5.33
2p33,7.24
1mn9,4.62
3i97,5.52
4h5d,6.24
4h3a,6.29
1i9n,8.66
4b2d,3.7
4ehg,7.19
1him,7.7
3ovz,8.06
3ivh,7.33
3pp0,7.96
4km2,5.84
1qhc,7.57
5boy,5.6
3k3i,5.72
4wa9,8.42
4cxy,4.93
5efc,4.85
2qdt,5.19
1zz3,6.54
3o5n,4.76
4yee,6.49
3ga5,5.49
3g6m,1.71
3tkh,7.33
3f18,7.4
4u0s,6.8
4al4,6.89
2ri9,3.22
4lno,2.62
1qx1,2.12
1rtl,5.59
3rxm,3.63
3wp1,4.85
1p01,9.46
1uk1,7.22
4p6c,4.0
1mrs,3.96
3jzh,3.4
1ida,8.7
4dpt,7.3
3lbk,6.04
4yyi,4.19
1w8m,1.6
3tjc,7.51
3zbf,7.52
3mxe,10.01
2v10,9.4
2ony,6.68
4ogv,8.05
2pu0,7.82
2b7a,9.0
4twt,8.0
5ar7,6.49
4o78,5.34
3iw6,5.48
1ym4,7.41
5aia,5.2
1o6h,6.73
3fmr,7.97
4ok5,4.51
3zsz,2.7
1oif,7.72
3el1,9.64
3bwj,6.5
2exc,6.63
1gbt,2.0
3g2v,6.52
2zhd,6.54
2ylc,7.89
4rd0,6.62
4ra1,5.94
5ah2,10.08
4j1p,7.05
4fyh,4.85
1dbj,7.68
3ik3,8.7
4fl3,3.82
4xkx,9.05
1b5h,6.01
4pv5,6.54
4cgj,2.84
4npv,7.46
4i0r,7.85
4e8y,6.09
4tpw,4.69
1ndj,12.16
3qfd,4.17
2vx9,7.44
4g0z,2.21
3dek,7.57
1ule,5.92
4xhv,4.3
1msm,10.48
2yb9,9.22
2gg9,5.46
4ks5,6.89
3v66,8.89
3x00,9.08
2vew,7.19
3shv,6.66
4r5b,6.73
2k0g,6.97
3tyv,8.1
1n2v,4.08
4nra,4.19
2ydv,7.86
2v83,4.47
3asl,5.76
2w92,4.55
1xom,7.96
3fv3,9.52
1ocq,5.19
2hz0,6.48
1laf,7.85
3hu1,6.89
3fl9,1.11
2gvd,7.0
1nok,3.15
4hva,5.89
1pxp,6.66
4lp0,8.0
4mm6,6.69
4gm8,9.0
1c3r,6.4
2i7c,5.07
3qkv,7.44
4ipi,5.32
1a0q,7.57
1hvr,9.51
4m2w,7.28
3s0n,6.74
3fjz,4.05
3r9o,4.0
1nc6,8.0
2e94,8.0
4rj8,7.77
3a29,7.89
4usj,4.0
3wtn,7.04
2gga,1.96
3sh0,5.66
4mg8,6.48
4o70,4.72
4yv2,7.29
3d62,6.1
3b7r,7.7
3rti,7.37
1uu9,5.4
1fki,7.0
3br9,7.21
1jd5,6.62
1w7g,5.1
2weh,5.95
3bkk,6.08
4b9w,4.17
3hmv,7.3
4cwf,4.49
2v54,4.6
4do4,7.29
4wmv,4.03
2yiv,2.78
2vey,7.37
4jlj,6.13
3lfn,5.5
2r03,5.15
4txe,5.62
1a4w,5.92
1aid,4.82
1xlz,6.02
4pms,8.1
2rjp,7.0
3gcs,7.25
4b95,4.28
3wci,6.57
1azx,9.4
1zh7,6.3
4r6t,7.52
1d6s,4.11
3sgx,5.49
