pdbid,-logKd/Ki
3cz1,7.26
4io7,3.68
1n3i,8.89
4eh6,2.46
1dqx,11.05
2pqz,5.67
4k7o,4.3
4mo4,4.22
1czl,9.15
1udu,9.05
5d1s,5.02
1bl7,7.72
4wq3,7.0
1q54,5.85
2pwc,6.57
3bpc,4.8
4otf,8.22
3il6,6.57
4jzi,7.4
4zxy,6.4
2ynd,7.49
2gnl,7.24
2fr8,3.15
2yme,7.66
1zd3,3.3
2gj4,6.5
3ljz,8.14
3s3r,8.68
3chs,7.77
2g0h,7.64
3sc1,4.38
2d0k,5.02
4dce,6.76
1o2w,5.85
3qlm,6.37
1pq6,8.1
3wym,9.52
3l9n,8.07
2hj4,5.37
1det,4.3
1hkk,7.4
2qo1,5.57
2aoe,7.62
1y3y,5.64
4w9j,6.23
4rvt,5.72
2gl0,4.82
4ge6,7.47
4qjx,7.28
1sc8,7.44
4yk5,7.64
3gqo,5.41
4ael,7.92
4rx9,7.89
3fh5,7.06
4i4e,6.3
2uyn,2.7
3u78,5.6
1n1t,3.85
3rx5,6.27
1f8a,5.0
3bbt,6.15
4do4,7.29
4j0t,6.74
4csj,8.31
2xc4,8.05
4hg7,7.05
4lts,8.36
1n51,4.85
4bs0,5.7
2ou7,3.81
2xcn,6.92
2aia,5.41
3b2w,9.22
1qwe,5.92
3tf7,3.52
2iwu,5.92
4b11,5.64
4awi,6.0
1pau,9.46
1err,8.11
4e28,5.89
3dy6,6.9
4e7r,7.7
2wq5,3.74
1ibc,10.25
2h4k,5.49
4y2y,5.05
4jv9,5.74
4xyc,7.51
1jn2,4.09
4arw,7.13
4cnh,8.4
1g7v,6.4
4mp7,5.74
3hau,6.38
4bnv,7.52
4p0n,8.66
1fjs,9.96
3dx3,6.52
1sqt,6.2
4djy,8.27
4fcq,7.0
4o24,4.3
4pop,8.13
4g8m,7.89
4zec,5.82
4umb,4.0
1efy,8.22
3g0d,8.3
2qu2,5.43
1ggd,5.8
3o1e,5.74
1v2m,4.29
1qbr,10.57
4u7t,5.67
4n07,6.46
4pox,5.43
4gne,2.47
1t4e,7.1
3lik,8.72
3nzs,7.12
2ksb,3.12
4b32,3.34
4n9b,5.28
1uh1,5.48
1y91,7.23
3iaf,2.92
4bw3,6.3
4bjx,7.66
4dho,3.93
3rjm,6.61
3e01,7.52
3tu9,5.12
3ckr,5.3
1oxr,5.19
3mo0,6.81
2e94,8.0
4puj,7.46
2izx,9.4
5akh,6.59
3vtr,5.57
2kbr,4.6
4bs5,8.22
3dnd,4.8
1kdv,6.22
4ghi,7.09
3r8i,5.35
2bv4,3.22
1qwu,3.22
4elf,8.03
2e9v,7.9
2q2n,6.48
4b5w,3.33
2nng,5.36
3cyx,8.0
1jdj,2.3
3rkb,6.42
2qi5,10.85
1b39,6.92
4uil,7.24
4aba,3.82
3k3a,7.08
4u73,5.18
2g6q,5.82
3cde,7.66
2yi7,8.32
2fkf,2.92
3otx,4.53
3new,5.0
1h8l,7.47
3gwx,5.4
4rfy,7.0
4u1b,5.31
3pj8,7.4
1y2g,4.08
2nta,4.8
1g27,8.15
4ju6,6.17
1gi8,5.05
4r6v,7.45
4ke0,7.77
1u32,7.01
1sqo,7.46
4wgi,5.35
2yjq,5.28
2bq7,7.05
4qsv,2.0
1lor,11.06
3gds,6.51
2r6n,9.0
4gih,8.32
4rdn,5.92
3gkz,8.0
2xx2,7.3
3f70,4.85
2oic,8.4
3uvw,5.17
1wcc,3.46
4q1n,9.7
2r3g,6.1
4aa4,8.05
3bc5,8.3
1b2m,3.73
1cnw,7.72
3lmk,5.94
3t2p,3.6
4nyi,3.06
3u7n,7.95
3r4n,6.89
1wss,7.77
2e2r,8.26
3kd7,3.7
1gnj,7.04
2gnj,5.22
4ibm,5.74
4avj,7.44
3d1z,8.8
4g8v,5.8
2gmx,7.11
4qp9,7.15
4kz7,2.49
3h9k,7.85
4ge7,8.15
2fwp,2.92
3v66,8.89
4aji,3.55
3v43,4.63
1bai,7.7
3oq5,4.55
4xm8,3.02
3efw,8.4
3ztx,7.74
3peq,7.5
4nan,4.72
3bh3,6.15
4yrt,2.78
3v7d,6.39
3cwe,6.92
3q2j,4.18
4ikn,4.85
3w2q,7.18
1we2,4.36
2xk7,5.82
3ibu,9.15
1akv,11.59
5bnj,8.7
2vxn,5.0
1n5r,5.66
4z84,5.82
1xh8,5.77
4b4n,3.44
3g5y,7.46
3atu,8.3
1igb,6.4
4mwy,7.05
4awq,6.32
2x6e,7.82
2wih,7.35
4z1q,7.82
1tuf,4.05
3sna,4.14
2c57,3.43
2b5j,9.1
4avt,8.06
3i51,7.7
5aln,6.57
3n9r,7.15
4wet,3.35
5d6p,5.6
1ndw,5.23
3rz8,8.17
4oc5,7.07
3r6c,4.72
1ciz,7.44
3pwm,9.1
3avn,3.3
1waw,7.89
4zom,8.52
4u82,5.72
4bny,7.1
1cbx,6.35
3kf4,9.3
1j19,7.79
4zl4,7.86
3px9,3.42
1dmt,8.7
3kl8,6.92
4o76,6.89
4u6c,5.0
2hu6,3.81
2w17,8.7
3ipb,6.7
2csm,4.3
3wci,6.57
2d41,6.82
4os5,4.63
1h2u,7.89
3o8h,6.24
2w6t,8.57
3tfv,7.1
1fzq,7.62
4xsx,5.0
4cp7,8.11
4o0y,7.22
4l5j,3.0
1h0w,4.89
3k97,8.0
4qgg,9.0
1bhf,4.38
4yes,8.02
3vw0,4.67
5a3h,4.57
2y59,6.44
