pdbid,-logKd/Ki
4hbm,7.92
3cbs,7.24
2r3i,6.0
4er2,9.3
4kcx,4.43
1i9n,8.66
2y34,7.1
4g17,7.54
3pka,6.27
4bnu,7.7
3k3h,7.06
4wk7,7.13
4b1c,7.1
4j06,5.34
1bcd,8.7
1c5f,6.07
2ewa,7.94
4no6,6.11
3bgs,9.42
1o9k,6.47
2nxl,6.27
2f4b,7.3
3ijg,4.27
4knm,8.0
3uoh,7.89
5axp,9.03
3hdn,7.2
1sqc,6.85
2k31,8.7
2c9d,6.32
1mem,7.94
4e9u,5.82
4i74,6.72
3qnd,4.85
3rqe,4.77
2w6t,8.57
4k6y,4.83
3upx,8.12
4qtb,6.7
2dxs,7.34
1s39,7.7
4leq,6.54
1xa5,6.5
4gcj,7.7
4b11,5.64
4x7o,8.7
4dho,3.93
4l10,7.15
8a3h,4.06
3qiy,5.34
4edz,8.08
4n5t,8.15
4hgs,8.3
1pzp,3.31
1gag,6.12
4y6s,5.03
1jcx,5.15
3r0h,5.92
3gsg,2.7
3ri1,5.3
5a5p,4.0
1yhs,8.0
2pv1,7.14
1o4l,1.4
1uml,7.52
4o76,6.89
3ikd,6.75
1cea,4.96
1puq,7.28
3iw6,5.48
2yns,7.6
1erq,7.89
2w0d,8.7
4nue,6.82
2hf8,5.47
2fky,8.59
2o8h,7.6
3vbq,9.33
4n07,6.46
4b3b,3.6
3az9,6.0
2x2k,6.52
3vbw,5.22
4btx,6.54
4z84,5.82
3hxf,4.96
4hyf,7.6
2e9a,6.04
2ltw,4.22
2rf2,8.44
4omk,4.4
2wxf,6.74
3kqm,3.77
1gj8,6.96
4i4f,6.19
3cs8,5.77
4ie6,5.55
5al5,7.15
2a14,5.7
4qwu,5.51
1oyn,6.26
4mm6,6.69
4x7n,8.22
4xh2,8.22
3d6o,4.11
4afg,8.3
3duy,5.85
4re9,4.92
1k1l,6.9
4tzq,6.52
4b4g,6.76
3tge,10.15
1ndz,8.11
4lgg,8.52
4n8e,7.7
1o35,5.0
4cjr,3.1
2o1c,4.72
4zpe,6.35
2vo5,4.89
1jlx,5.8
1loq,3.7
4tzm,6.7
1t5a,4.62
1imx,3.52
2xg3,4.74
4up5,2.6
2hdr,1.72
3o6t,5.22
3o0g,6.22
2xaq,5.96
1kv2,10.0
4n1z,9.14
4iic,4.85
4mw0,7.41
4q7s,4.42
2wtc,6.51
1ckb,5.28
1lcj,9.0
1mn9,4.62
1uvr,6.0
5cao,7.42
3qfd,4.17
1wkm,0.82
4f8j,5.07
3o23,6.3
1rpj,6.48
1wdq,1.98
4jmx,7.21
3vzd,6.3
3fqk,7.09
4io2,6.7
2opy,4.52
1utj,3.84
4rn1,5.0
3qtx,7.15
4cwb,6.09
3rsr,4.36
2q6h,3.6
1uvu,5.0
4zo5,9.82
3rl4,5.42
3uvw,5.17
4e6c,4.82
2x2i,8.7
4nnn,6.57
4u5t,6.7
2yde,3.72
2hs1,8.48
1b6l,8.3
3a73,3.38
3vrv,10.54
2iu0,6.89
3wdd,6.11
2w2i,6.04
4xcb,5.47
2r5q,8.57
3i28,8.22
4n4v,8.7
1i9q,8.41
2hyy,6.77
2wmv,5.04
2xm1,5.07
4e4n,9.05
1tng,2.93
2pvj,8.1
2j9n,4.7
1b9s,3.18
3rak,6.89
4at3,8.4
3rlb,9.92
4bkz,7.57
2m3m,5.02
3fsm,7.0
1b9v,3.65
3ans,6.25
3dne,5.22
4qxr,6.0
3t09,3.8
4oaz,5.77
4tzn,6.52
4kz3,2.77
3r21,6.74
1o4i,2.64
4gye,6.85
4emv,8.3
2pv2,5.91
3qvu,3.55
1e02,6.15
3k84,8.52
3c6t,8.68
5a3u,8.32
2nyr,4.66
2j7e,7.32
3fzr,7.96
2qhm,6.18
1yda,6.55
4u6y,7.08
2m0o,5.38
3pgu,6.7
4gpk,7.52
1zpa,8.4
3wut,6.49
4fci,1.26
1ele,6.85
4jfl,4.98
1akq,9.1
3el0,7.47
3pce,2.0
4m8y,9.96
2hb3,11.35
1rhj,8.04
2ya8,5.75
2xne,6.72
3su3,9.13
1hpo,9.22
4mxc,8.17
4el9,5.36
5c7f,3.98
2bqv,8.05
3uo6,7.82
2op3,6.31
3bhb,8.47
3wcg,6.85
5yas,3.26
1yye,8.57
1ow4,5.68
3oyp,8.7
4jjq,5.03
4or0,7.46
4bpj,6.0
2yln,7.68
3vzg,1.72
4zls,9.09
4i9h,7.17
2mg5,6.15
2g5u,8.49
1mrw,9.7
1tnl,1.88
2x09,3.76
4mss,6.4
3i3d,1.99
4lm1,3.23
4y46,7.96
3vd9,4.0
1v0o,5.26
3py1,6.89
2q2a,7.41
4zb6,6.28
1xhy,6.18
5ddb,7.09
1sps,8.52
3t3v,8.52
1gj6,7.0
3va4,4.4
3w2s,8.16
1t79,6.04
3ipu,7.32
3igp,7.02
5a5s,5.9
3su2,7.35
4gtt,8.22
3eju,6.6
3b1t,5.66
3mfv,2.52
3h98,8.3
3ppk,8.85
4at4,7.92
2lyb,4.46
4im0,7.72
5edr,7.46
4q9o,5.77
4hpi,4.85
3rxh,1.8
4cd4,6.58
1t5f,4.22
2xch,6.43
2q93,6.25
1pl0,8.22
1ols,5.82
3u2k,7.52
2aie,5.66
3wyk,7.64
4n8q,3.42
2xnn,4.3
2zga,6.32
3oyw,4.11
4uyd,4.1
3c8a,6.18
1gz3,3.7
3u8l,8.05
1rr6,10.25
2rnw,2.98
2wmr,4.28
3e0q,5.89
3ddb,4.02
3r0w,4.52
1yds,5.92
2o3z,5.7
2bub,7.05
1v2o,4.73
4ah9,2.46
4j8b,4.79
4cbt,7.3
2cia,6.43
2hxq,6.84
2bba,7.15
3ds9,7.39
4tw8,5.58
4x3t,4.54
1pf8,7.51
2gv6,7.34
3s53,9.64
1gni,8.07
4k76,5.35
4q6e,6.18
1oba,2.44
4q99,6.28
2qi4,10.44
4djs,7.89
3hec,4.47
1o9e,4.18
3rqw,2.7
2w0p,6.52
3h0z,8.37
1aq7,6.05
4nvp,7.57
4d8a,3.42
3s3m,7.4
1u65,7.58
2jdt,6.77
2z4r,7.62
4rsc,6.63
3d4q,10.52
5cnj,6.84
1c7e,6.3
3dek,7.57
3pcn,3.66
1ihy,3.74
3dhv,2.96
4drn,5.24
1bkm,5.74
1cp6,5.0
4tya,2.39
3srv,7.5
3kiv,4.7
1jm4,5.0
4prp,5.66
4d09,8.77
1oz0,7.7
4hgt,7.4
4nl1,3.89
2qh6,6.0
3b9g,4.72
4jn4,5.86
1uj5,3.05
3uvo,7.0
4jk6,7.19
1hk5,5.24
4mzs,7.92
1b3f,6.89
3jvk,3.93
3wbl,4.64
3wt7,8.75
4y5d,5.92
1njs,7.82
4pop,8.13
2pv3,5.25
2xj1,7.55
3c10,6.52
3rsb,6.4
4jof,4.17
4v04,8.11
3uib,6.8
2vot,7.14
3gjw,8.3
4wop,4.76
5c7d,5.11
1z4n,4.52
2r3l,7.0
3r16,7.3
2olb,5.54
2p3i,3.48
3ftu,3.61
4r4t,6.26
4rs0,6.0
4q6r,6.68
3fcl,3.5
4r18,7.68
4zme,4.3
4fea,6.47
4xj0,9.52
3hdz,7.29
4jvq,6.2
1o2p,4.85
4a4v,6.54
2p1c,7.68
5a46,7.66
3gc4,7.6
4ay5,6.27
1k1m,7.4
2afw,4.77
3avk,3.3
4y8z,10.4
2vip,5.28
4ewh,9.52
2fqt,6.14
2las,5.74
3uil,6.0
1iew,4.59
2hk5,7.34
2rip,7.19
3saz,6.1
4mnv,4.94
5avi,6.06
1y1m,1.82
3coh,8.4
3og7,7.51
2br8,7.49
1sr7,10.1
4wvt,5.31
3r01,5.24
4h1m,7.11
1tr7,6.82
3u51,5.51
2bow,4.0
2gu8,8.59
4u7t,5.67
3ig7,7.2
3odi,7.82
3as2,3.44
3b8z,6.54
4u8w,11.24
1udt,9.3
3p4v,5.1
3nf7,3.47
2xag,4.55
4z2o,4.51
3dx4,7.12
1zgi,5.34
2b53,6.22
4oma,4.17
1qxz,4.72
4gzp,7.84
4x3h,4.23
2b1i,6.82
3uoj,7.29
3d67,4.96
1cin,8.73
1iky,8.26
1qm4,4.3
3tl0,6.59
2y7i,5.54
3o9f,12.7
2ael,6.29
2sfp,1.7
4qc1,4.99
1flm,9.37
4x5y,8.03
4ft2,5.64
4lbp,4.94
4k6z,8.7
4jok,4.07
2w6u,5.0
2azm,5.66
3ert,9.6
4j46,5.28
4hy9,7.1
4b00,8.61
1w14,8.52
2q8g,7.06
4ddy,5.62
4o6e,9.0
2or4,5.02
4ocz,9.18
2za5,8.43
3gn7,8.3
3fum,3.77
3pb7,5.74
3gol,7.09
3i7i,6.21
3v4j,5.04
1xh6,7.32
3ern,1.72
2ewy,6.15
4q07,8.14
4xtz,9.82
3lpg,6.16
3tiz,3.82
2nn8,3.59
3zhf,3.92
3t2v,6.99
3ekp,8.89
4kil,6.3
2hz4,5.47
4knr,5.74
1g7v,6.4
4k3q,3.94
4itp,7.27
5boj,7.0
1ag9,9.0
2q95,5.8
3bet,5.82
3pj3,5.25
1pye,6.41
3pwm,9.1
4hnc,3.17
3p3s,7.59
4wq2,6.3
4i7b,5.7
3uvn,6.59
2aq7,3.3
5e13,4.24
1zhy,6.52
3wkc,3.71
4x0f,7.0
2bo4,4.61
1e1v,4.92
3wti,5.9
2qbw,7.25
3gp0,7.44
4pns,4.52
2vnp,9.92
2fgu,9.18
4bde,4.8
4zg9,7.59
4ztl,5.92
1fq7,5.43
2aox,7.42
3moe,4.3
2fai,6.24
2ltv,5.16
4ktc,9.0
4qw7,6.28
3kdm,7.0
1m48,5.09
3udd,7.1
4a51,6.73
1ztq,8.89
3ppj,8.7
4ge2,6.05
1o0f,5.3
1wzy,6.25
1xz8,4.52
4jgv,6.57
3h0j,6.49
